year,month,sp500
2000,1,1425.5855
2000,2,1388.874
2000,3,1442.21304348
2000,4,1461.35526316
2000,5,1418.47954545
2000,6,1461.95909091
2000,7,1473.0025
2000,8,1485.45826087
2000,9,1468.054
2000,10,1390.14409091
2000,11,1375.03666667
2000,12,1330.9305
2001,1,1335.62809524
2001,2,1305.75157895
2001,3,1185.85
2001,4,1189.8375
2001,5,1270.36863636
2001,6,1238.71238095
2001,7,1204.44904762
2001,8,1178.50565217
2001,9,1044.644
2001,10,1076.59043478
2001,11,1129.68333333
2001,12,1144.93
2002,1,1140.20761905
2002,2,1100.66894737
2002,3,1153.791
2002,4,1112.03409091
2002,5,1079.26727273
2002,6,1014.0475
2002,7,903.590454545
2002,8,912.553181818
2002,9,867.812
2002,10,854.631304348
2002,11,909.9275
2002,12,899.178095238
2003,1,895.836666667
2003,2,837.618947368
2003,3,846.621428571
2003,4,890.025714286
2003,5,935.962857143
2003,6,987.995238095
2003,7,992.536818182
2003,8,989.531904762
2003,9,1019.44190476
2003,10,1038.73434783
2003,11,1049.90052632
2003,12,1080.63636364
2004,1,1132.5175
2004,2,1143.35631579
2004,3,1123.97956522
2004,4,1133.07857143
2004,5,1102.7815
2004,6,1132.75714286
2004,7,1105.84666667
2004,8,1088.935
2004,9,1117.65619048
2004,10,1118.06857143
2004,11,1168.93666667
2004,12,1199.21045455
2005,1,1181.408
2005,2,1199.62684211
2005,3,1194.89772727
2005,4,1164.42333333
2005,5,1178.27571429
2005,6,1202.25545455
2005,7,1222.237
2005,8,1224.27043478
2005,9,1225.9147619
2005,10,1191.96428571
2005,11,1237.36857143
2005,12,1262.07190476
2006,1,1278.723
2006,2,1276.64526316
2006,3,1293.74
2006,4,1302.18368421
2006,5,1290.0
2006,6,1253.12136364
2006,7,1260.2395
2006,8,1287.15130435
2006,9,1317.8055
2006,10,1363.38454545
2006,11,1388.63190476
2006,12,1416.42
2007,1,1424.161
2007,2,1444.79473684
2007,3,1406.95227273
2007,4,1463.6475
2007,5,1511.13681818
2007,6,1514.48952381
2007,7,1520.7047619
2007,8,1454.61695652
2007,9,1497.11631579
2007,10,1539.65869565
2007,11,1463.3852381
2007,12,1479.2285
2008,1,1378.76428571
2008,2,1354.8725
2008,3,1316.943
2008,4,1370.46909091
2008,5,1403.21761905
2008,6,1341.25095238
2008,7,1257.32636364
2008,8,1281.47238095
2008,9,1217.00857143
2008,10,968.800869565
2008,11,883.040526316
2008,12,877.561818182
2009,1,865.5755
2009,2,805.227368421
2009,3,757.126818182
2009,4,848.151904762
2009,5,902.4085
2009,6,926.115
2009,7,935.821363636
2009,8,1009.7247619
2009,9,1044.55238095
2009,10,1067.66363636
2009,11,1088.069
2009,12,1110.37772727
2010,1,1123.58157895
2010,2,1089.16
2010,3,1152.04869565
2010,4,1197.31619048
2010,5,1125.0635
2010,6,1083.36090909
2010,7,1079.80333333
2010,8,1087.28227273
2010,9,1122.08190476
2010,10,1171.58380952
2010,11,1198.88857143
2010,12,1241.52545455
2011,1,1282.6185
2011,2,1321.11789474
2011,3,1304.48608696
2011,4,1331.505
2011,5,1338.31047619
2011,6,1287.28863636
2011,7,1325.1845
2011,8,1185.30565217
2011,9,1173.87904762
2011,10,1207.21619048
2011,11,1226.41428571
2011,12,1243.32285714
2012,1,1300.5775
2012,2,1352.4875
2012,3,1389.24
2012,4,1386.429
2012,5,1341.27272727
2012,6,1323.48428571
2012,7,1359.77619048
2012,8,1403.44043478
2012,9,1443.41947368
2012,10,1437.81666667
2012,11,1394.51238095
2012,12,1422.2855
2013,1,1480.3952381
2013,2,1512.31157895
2013,3,1550.829
2013,4,1570.70227273
2013,5,1639.84272727
2013,6,1618.7725
2013,7,1668.67545455
2013,8,1670.09363636
2013,9,1687.1735
2013,10,1720.02652174
2013,11,1783.541
2013,12,1807.7752381
2014,1,1822.35666667
2014,2,1817.03473684
2014,3,1863.52333333
2014,4,1864.26333333
2014,5,1889.76714286
2014,6,1947.08761905
2014,7,1973.1
2014,8,1961.53190476
2014,9,1993.22619048
2014,10,1937.27434783
2014,11,2044.57210526
2014,12,2054.26636364
2015,1,2028.1785
2015,2,2082.19578947
2015,3,2079.99045455
2015,4,2094.86285714
2015,5,2111.9435
2015,6,2099.28363636
2015,7,2094.14363636
2015,8,2039.86619048
2015,9,1944.40238095
2015,10,2024.81272727
2015,11,2080.6165
2015,12,2054.07954545
2016,1,1918.59789474
2016,2,1904.4185
2016,3,2021.95409091
2016,4,2075.5352381
2016,5,2065.55095238
2016,6,2083.89136364
2016,7,2148.902
2016,8,2177.48217391
2016,9,2157.69095238
2016,10,2143.02095238
2016,11,2164.98571429
2016,12,2246.62904762
2017,1,2275.116
2017,2,2329.91052632
2017,3,2366.82217391
2017,4,2359.30947368
2017,5,2395.34590909
2017,6,2433.98545455
2017,7,2454.1025
2017,8,2456.22304348
2017,9,2492.841
2017,10,2556.99727273
2017,11,2593.60571429
2017,12,2664.3405
