year,month,LPX,MTH,DHI,FINL,STC,RNR,FBC,RWT,CLI,HELE,TAP,UVV,MD,BMY,EIX,NEE,T,PXD,DVN,CLGX,CAL,FCN,DLX,INGR,CMTL,ORCL
2000,1,10.599,2.5469,2.5095,2.3843,10.7655,9.7189,244.5439,2.1747,8.7853,8.0,17.043,9.9339,2.2813,31.9806,18.2732,11.1905,17.9732,8.244,14.8677,5.5273,3.2766,2.7222,10.4586,8.684,5.446,22.486
2000,2,9.8398,2.8281,2.4369,2.488,11.1737,9.5502,223.8935,2.0986,8.2025,7.0,15.478,7.9593,1.9688,27.6361,16.4694,10.3827,15.8248,8.003,15.7671,5.4109,3.3161,3.2222,9.3055,8.896,7.3155,33.4231
2000,3,11.5578,2.5,2.8295,4.043,12.9084,10.3066,226.0672,2.6404,8.8069,6.875,16.933,7.3213,1.8125,27.5757,10.3914,12.382,17.6588,10.109,20.5788,6.5163,3.8225,3.0,10.5214,9.125,5.9947,35.1393
2000,4,11.1413,2.75,2.8025,4.3799,11.6329,9.2665,236.5909,2.6182,9.1003,6.625,17.991,9.3481,2.0625,25.4069,12.1656,12.1636,18.4673,9.929,20.3934,7.2176,3.2651,3.6111,10.0003,9.101,3.9219,35.9833
2000,5,9.4591,2.7656,2.838,2.9027,10.3063,11.0219,164.2992,2.4176,9.542,6.5625,19.904,11.484,1.7813,26.6788,13.6414,13.508,18.4146,14.382,25.3461,7.7727,3.8026,4.1667,9.9447,9.314,4.1048,32.354
2000,6,9.1438,2.6719,2.9467,3.3951,11.939,11.0855,142.3927,2.569,9.0782,5.5938,21.414,10.4547,2.9102,28.2232,13.2593,13.457,18.5464,12.291,23.7506,6.7174,4.1761,4.6667,9.4915,10.094,5.3647,37.8401
2000,7,8.1454,3.25,3.3676,3.3432,10.8165,11.849,204.3939,2.6149,9.4687,5.875,22.293,11.1413,3.8438,25.1198,12.7337,13.1172,18.0405,10.35,19.4034,7.304,4.5575,4.5833,8.6607,9.517,4.6738,33.8451
2000,8,9.0103,3.9063,4.2728,3.2914,10.9696,12.2739,207.7084,2.9016,9.4687,5.625,21.141,12.993,3.3281,25.7984,13.3932,14.6558,17.7044,13.359,24.8457,7.744,3.4533,4.1944,9.0038,9.565,5.7711,40.9348
2000,9,7.8228,4.5625,4.0789,3.0322,12.5512,16.3919,216.5471,2.8751,10.1918,7.125,22.428,14.7505,3.2188,27.9785,12.5038,18.0592,21.14,13.659,25.5322,9.8251,2.9813,3.5,8.3132,8.701,4.7957,35.4487
2000,10,7.2375,5.75,4.4009,3.1618,12.8574,18.6031,229.8051,2.9929,10.0246,5.75,22.605,14.2196,3.9844,29.78,15.6614,18.1224,24.5722,12.576,21.3936,9.8545,3.1842,3.0556,9.2341,9.609,5.0396,29.7094
2000,11,6.1288,6.2031,4.4157,3.3692,12.2961,18.6869,239.3157,3.1814,9.7936,4.25,26.685,16.0606,4.375,33.8728,15.0465,18.3387,23.4008,13.96,20.9054,10.237,3.4681,3.1111,9.7047,9.274,3.292,23.8576
2000,12,8.7865,9.3125,5.8133,2.4491,18.1126,20.1851,445.2385,3.4305,10.5558,4.875,28.575,17.7745,6.0156,36.133,10.2496,19.8612,20.3393,18.955,25.904,15.5028,4.2538,4.5556,10.5196,11.158,5.0599,26.1645
2001,1,9.676,9.115,5.5974,2.8508,16.335,19.3699,389.1782,3.6721,10.3698,5.75,24.746,16.1488,5.75,30.3622,8.7507,16.055,20.6999,16.849,23.2826,13.9348,5.3532,4.9067,10.9288,9.79,5.8118,26.2208
2001,2,9.2987,7.94,5.4353,2.8767,14.939,19.2566,405.9532,3.7069,10.1206,6.5,23.886,19.358,5.6375,31.1079,9.7741,18.1642,20.4216,16.223,24.2173,14.3356,5.6771,5.1111,12.8851,9.751,4.5722,17.1054
2001,3,8.4462,7.38,5.5966,2.6953,13.7145,18.1326,447.3313,3.9033,10.1961,5.625,23.347,20.2142,5.55,29.1407,8.2915,17.117,19.1073,15.116,24.7465,12.2898,6.201,5.7733,12.5252,9.889,4.2268,13.4863
2001,4,10.7665,10.2,6.4089,3.2966,13.7962,16.5501,406.015,4.25,10.3468,6.16,18.552,20.0046,6.685,27.6095,6.4614,16.7261,17.7626,18.399,25.0909,9.43,6.4904,6.8667,13.7529,9.442,4.2072,14.5486
2001,5,10.3679,10.675,5.4687,4.184,14.0003,17.8884,434.2455,4.7058,10.6173,9.13,18.592,20.5836,6.8275,26.7418,7.1042,16.4241,18.5377,20.315,24.7507,9.6806,6.5956,8.4889,14.8581,11.041,4.4706,13.7744
2001,6,10.3502,11.5,6.0203,5.1792,15.9105,19.2955,375.8067,4.6159,11.0036,8.84,17.976,20.5009,8.3,25.7853,7.3141,16.9767,17.2502,16.415,22.3422,8.9526,5.9675,9.6889,15.4962,12.375,4.5519,17.1054
2001,7,9.3708,14.435,7.3066,4.4535,16.1227,18.8656,608.4198,4.7133,10.9365,13.95,18.015,20.5299,8.2125,29.3083,9.2099,15.2258,19.5114,16.358,23.0699,8.4213,5.0319,9.5067,16.9118,11.485,4.7307,16.2772
2001,8,9.4121,12.375,6.7066,4.043,14.286,18.6983,594.3585,4.749,11.4103,12.17,16.659,22.1143,9.3375,29.2312,8.9278,15.48,17.7262,16.849,19.6909,8.6822,4.9922,11.1333,17.7966,12.761,5.1696,10.9925
2001,9,5.7607,9.25,5.5428,4.4991,15.9187,23.3002,624.6443,5.0433,12.2394,10.45,16.192,17.3923,10.1975,28.9292,8.6327,15.2522,20.417,13.7,14.6563,9.643,3.7837,13.0667,18.7293,11.147,4.7892,11.3256
2001,10,6.3811,11.025,5.9513,4.2089,15.5921,25.284,677.374,5.1793,12.4892,10.05,17.901,17.021,7.26,27.9632,9.3214,15.124,16.606,16.377,16.318,7.9287,3.667,13.1778,18.9788,11.678,4.3893,12.2079
